date,pubdate,code,company_name,title,doc_id,close,shares_outstanding,market_cap_jpy,market_cap_billion_jpy,source_url,saved_path
20260901,2026-09-01 17:00:00,9684,スクエニＨＤ,本日の一部報道について,140120260901529904,3161.0,360675534,1140095362974.0,1140.095362974,https://www.release.tdnet.info/inbs/140120260901529904.pdf,tdnet_pdfs/20260901/2026-09-01 17_00_00_9684_スクエニＨＤ_本日の一部報道について_140120260901529904.pdf
20260901,2026-09-01 16:30:00,9401,ＴＢＳＨＤ,自己株式の取得状況に関するお知らせ,140120260901529731,6065.0,156834997,951204256805.0,951.204256805,https://www.release.tdnet.info/inbs/140120260901529731.pdf,tdnet_pdfs/20260901/2026-09-01 16_30_00_9401_ＴＢＳＨＤ_自己株式の取得状況に関するお知らせ_140120260901529731.pdf
20260901,2026-09-01 16:20:00,9508,九州電力,キューデンホールディングス株式会社の新規上場承認に関するお知らせ,140120260901529996,2192.5,472778133,1036566056602.5,1036.5660566025,https://www.release.tdnet.info/inbs/140120260901529996.pdf,tdnet_pdfs/20260901/2026-09-01 16_20_00_9508_九州電力_キューデンホールディングス株式会社の新規上場承認に関するお知らせ_140120260901529996.pdf
20260901,2026-09-01 16:00:00,5901,洋缶ＨＤ,自己株式の取得状況に関するお知らせ（会社法第165条第2項の規定による定款の定めに基づく自己株式の取得）,140120260901529289,4570.0,150585299,688174816430.0,688.17481643,https://www.release.tdnet.info/inbs/140120260901529289.pdf,tdnet_pdfs/20260901/2026-09-01 16_00_00_5901_洋缶ＨＤ_自己株式の取得状況に関するお知らせ（会社法第165条第2項の規定による定款の定めに基づく自己株式の取得）_140120260901529289.pdf
20260901,2026-09-01 16:00:00,6268,ナブテスコ,自己株式の取得状況に関するお知らせ,140120260901529740,4586.0,117184523,537408222478.0,537.408222478,https://www.release.tdnet.info/inbs/140120260901529740.pdf,tdnet_pdfs/20260901/2026-09-01 16_00_00_6268_ナブテスコ_自己株式の取得状況に関するお知らせ_140120260901529740.pdf
20260901,2026-09-01 16:00:00,6806,ヒロセ電,自己株式の取得状況に関するお知らせ,140120260901529456,25930.0,32721510,848468754300.0,848.4687543,https://www.release.tdnet.info/inbs/140120260901529456.pdf,tdnet_pdfs/20260901/2026-09-01 16_00_00_6806_ヒロセ電_自己株式の取得状況に関するお知らせ_140120260901529456.pdf
20260901,2026-09-01 16:00:00,8308,りそなＨＤ,自己株式の取得状況に関するお知らせ,140120260831529220,2535.0,2238872144,5675540885040.0,5675.54088504,https://www.release.tdnet.info/inbs/140120260831529220.pdf,tdnet_pdfs/20260901/2026-09-01 16_00_00_8308_りそなＨＤ_自己株式の取得状況に関するお知らせ_140120260831529220.pdf
20260901,2026-09-01 16:00:00,8411,みずほ,自己株式の取得状況に関するお知らせ,140120260831528910,8697.0,2429689058,21131005737426.0,21131.005737426,https://www.release.tdnet.info/inbs/140120260831528910.pdf,tdnet_pdfs/20260901/2026-09-01 16_00_00_8411_みずほ_自己株式の取得状況に関するお知らせ_140120260831528910.pdf
20260901,2026-09-01 16:00:00,8952,Ｒ－ジャパン,コミットメントラインの契約期限の延長に関するお知らせ,140120260901529842,118600.0,7283580,863832588000.0,863.832588,https://www.release.tdnet.info/inbs/140120260901529842.pdf,tdnet_pdfs/20260901/2026-09-01 16_00_00_8952_Ｒ－ジャパン_コミットメントラインの契約期限の延長に関するお知らせ_140120260901529842.pdf
20260901,2026-09-01 15:40:00,2282,日ハム,自己株式の取得状況に関するお知らせ,140120260901529655,6373.0,92850359,591735337907.0,591.735337907,https://www.release.tdnet.info/inbs/140120260901529655.pdf,tdnet_pdfs/20260901/2026-09-01 15_40_00_2282_日ハム_自己株式の取得状況に関するお知らせ_140120260901529655.pdf
20260901,2026-09-01 15:30:00,2413,エムスリー,自己株式の取得状況に関するお知らせ (会社法第459条第1項の規定による定款の定めに基づく自己株式の取得),140120260901529438,1830.0,667430061,1221397011630.0,1221.39701163,https://www.release.tdnet.info/inbs/140120260901529438.pdf,tdnet_pdfs/20260901/2026-09-01 15_30_00_2413_エムスリー_自己株式の取得状況に関するお知らせ (会社法第459条第1項の規定による定款の定めに基づく自己株式の取得)_140120260901529438.pdf
20260901,2026-09-01 15:30:00,2875,東洋水産,自己株式の取得状況に関するお知らせ,140120260901529342,10610.0,96127587,1019913698070.0,1019.91369807,https://www.release.tdnet.info/inbs/140120260901529342.pdf,tdnet_pdfs/20260901/2026-09-01 15_30_00_2875_東洋水産_自己株式の取得状況に関するお知らせ_140120260901529342.pdf
20260901,2026-09-01 15:30:00,3064,ＭＲＯ,自己株式の取得状況および取得終了に関するお知らせ,140120260901529672,1902.0,491772534,935351359668.0,935.351359668,https://www.release.tdnet.info/inbs/140120260901529672.pdf,tdnet_pdfs/20260901/2026-09-01 15_30_00_3064_ＭＲＯ_自己株式の取得状況および取得終了に関するお知らせ_140120260901529672.pdf
20260901,2026-09-01 15:30:00,3099,ミツコシイセタン,自己株式の取得状況（途中経過）に関するお知らせ,140120260901529548,3516.0,347894421,1223196784236.0,1223.196784236,https://www.release.tdnet.info/inbs/140120260901529548.pdf,tdnet_pdfs/20260901/2026-09-01 15_30_00_3099_ミツコシイセタン_自己株式の取得状況（途中経過）に関するお知らせ_140120260901529548.pdf
20260901,2026-09-01 15:30:00,3283,Ｒ－プロロジ,自己投資口の取得状況に関するお知らせ,140120260901529900,88300.0,8389107,740758148100.0,740.7581481,https://www.release.tdnet.info/inbs/140120260901529900.pdf,tdnet_pdfs/20260901/2026-09-01 15_30_00_3283_Ｒ－プロロジ_自己投資口の取得状況に関するお知らせ_140120260901529900.pdf
20260901,2026-09-01 15:30:00,4527,ロート薬,自己株式の取得状況に関するお知らせ,140120260901529488,3047.0,225964292,688513197724.0,688.513197724,https://www.release.tdnet.info/inbs/140120260901529488.pdf,tdnet_pdfs/20260901/2026-09-01 15_30_00_4527_ロート薬_自己株式の取得状況に関するお知らせ_140120260901529488.pdf
20260901,2026-09-01 15:30:00,4578,大塚ＨＤ,自己株式の取得状況に関するお知らせ,140120260901529785,12390.0,525393423,6509624510970.0,6509.62451097,https://www.release.tdnet.info/inbs/140120260901529785.pdf,tdnet_pdfs/20260901/2026-09-01 15_30_00_4578_大塚ＨＤ_自己株式の取得状況に関するお知らせ_140120260901529785.pdf
20260901,2026-09-01 15:30:00,4626,太陽ＨＤ,投資有価証券の売却及び特別利益計上の見込みに関するお知らせ,140120260826526422,4750.0,111276682,528564239500.0,528.5642395,https://www.release.tdnet.info/inbs/140120260826526422.pdf,tdnet_pdfs/20260901/2026-09-01 15_30_00_4626_太陽ＨＤ_投資有価証券の売却及び特別利益計上の見込みに関するお知らせ_140120260826526422.pdf
